year-month	data_source	country	term	hits	number of news
2010-1	iNaturalist	Canada	Araneae	0	0
2010-10	iNaturalist	Canada	Araneae	0	0
2010-11	iNaturalist	Canada	Araneae	0	0
2010-12	iNaturalist	Canada	Araneae	0	0
2010-2	iNaturalist	Canada	Araneae	0	0
2010-3	iNaturalist	Canada	Araneae	0	0
2010-4	iNaturalist	Canada	Araneae	0	0
2010-5	iNaturalist	Canada	Araneae	0	0
2010-6	iNaturalist	Canada	Araneae	0	0
2010-7	iNaturalist	Canada	Araneae	0	0
2010-8	iNaturalist	Canada	Araneae	0	0
2010-9	iNaturalist	Canada	Araneae	0	0
2011-1	iNaturalist	Canada	Araneae	0	0
2011-10	iNaturalist	Canada	Araneae	0	0
2011-11	iNaturalist	Canada	Araneae	0	0
2011-12	iNaturalist	Canada	Araneae	0	0
2011-2	iNaturalist	Canada	Araneae	0	1
2011-3	iNaturalist	Canada	Araneae	0	1
2011-4	iNaturalist	Canada	Araneae	0	0
2011-5	iNaturalist	Canada	Araneae	0	0
2011-6	iNaturalist	Canada	Araneae	2	0
2011-7	iNaturalist	Canada	Araneae	0	0
2011-8	iNaturalist	Canada	Araneae	0	0
2011-9	iNaturalist	Canada	Araneae	0	0
2012-1	iNaturalist	Canada	Araneae	0	0
2012-10	iNaturalist	Canada	Araneae	0	0
2012-11	iNaturalist	Canada	Araneae	0	0
2012-12	iNaturalist	Canada	Araneae	2	0
2012-2	iNaturalist	Canada	Araneae	0	0
2012-3	iNaturalist	Canada	Araneae	0	0
2012-4	iNaturalist	Canada	Araneae	0	0
2012-5	iNaturalist	Canada	Araneae	0	1
2012-6	iNaturalist	Canada	Araneae	0	1
2012-7	iNaturalist	Canada	Araneae	2	0
2012-8	iNaturalist	Canada	Araneae	0	1
2012-9	iNaturalist	Canada	Araneae	1	0
2013-1	iNaturalist	Canada	Araneae	0	0
2013-10	iNaturalist	Canada	Araneae	0	1
2013-11	iNaturalist	Canada	Araneae	0	2
2013-12	iNaturalist	Canada	Araneae	1	0
2013-2	iNaturalist	Canada	Araneae	0	1
2013-3	iNaturalist	Canada	Araneae	4	0
2013-4	iNaturalist	Canada	Araneae	1	1
2013-5	iNaturalist	Canada	Araneae	2	9
2013-6	iNaturalist	Canada	Araneae	1	0
2013-7	iNaturalist	Canada	Araneae	0	0
2013-8	iNaturalist	Canada	Araneae	6	0
2013-9	iNaturalist	Canada	Araneae	0	0
2014-1	iNaturalist	Canada	Araneae	1	0
2014-10	iNaturalist	Canada	Araneae	6	4
2014-11	iNaturalist	Canada	Araneae	0	1
2014-12	iNaturalist	Canada	Araneae	0	0
2014-2	iNaturalist	Canada	Araneae	0	0
2014-3	iNaturalist	Canada	Araneae	0	0
2014-4	iNaturalist	Canada	Araneae	1	0
2014-5	iNaturalist	Canada	Araneae	2	0
2014-6	iNaturalist	Canada	Araneae	6	0
2014-7	iNaturalist	Canada	Araneae	8	0
2014-8	iNaturalist	Canada	Araneae	6	0
2014-9	iNaturalist	Canada	Araneae	15	0
2015-1	iNaturalist	Canada	Araneae	3	0
2015-10	iNaturalist	Canada	Araneae	7	0
2015-11	iNaturalist	Canada	Araneae	9	2
2015-12	iNaturalist	Canada	Araneae	1	0
2015-2	iNaturalist	Canada	Araneae	3	0
2015-3	iNaturalist	Canada	Araneae	9	1
2015-4	iNaturalist	Canada	Araneae	7	1
2015-5	iNaturalist	Canada	Araneae	61	1
2015-6	iNaturalist	Canada	Araneae	12	1
2015-7	iNaturalist	Canada	Araneae	48	1
2015-8	iNaturalist	Canada	Araneae	63	2
2015-9	iNaturalist	Canada	Araneae	38	2
2016-1	iNaturalist	Canada	Araneae	12	0
2016-10	iNaturalist	Canada	Araneae	124	0
2016-11	iNaturalist	Canada	Araneae	51	2
2016-12	iNaturalist	Canada	Araneae	13	1
2016-2	iNaturalist	Canada	Araneae	26	0
2016-3	iNaturalist	Canada	Araneae	71	0
2016-4	iNaturalist	Canada	Araneae	50	1
2016-5	iNaturalist	Canada	Araneae	49	2
2016-6	iNaturalist	Canada	Araneae	59	0
2016-7	iNaturalist	Canada	Araneae	64	0
2016-8	iNaturalist	Canada	Araneae	209	1
2016-9	iNaturalist	Canada	Araneae	144	2
2017-1	iNaturalist	Canada	Araneae	47	1
2017-10	iNaturalist	Canada	Araneae	440	2
2017-11	iNaturalist	Canada	Araneae	120	1
2017-12	iNaturalist	Canada	Araneae	125	0
2017-2	iNaturalist	Canada	Araneae	24	0
2017-3	iNaturalist	Canada	Araneae	43	0
2017-4	iNaturalist	Canada	Araneae	86	2
2017-5	iNaturalist	Canada	Araneae	243	1
2017-6	iNaturalist	Canada	Araneae	433	3
2017-7	iNaturalist	Canada	Araneae	473	4
2017-8	iNaturalist	Canada	Araneae	560	8
2017-9	iNaturalist	Canada	Araneae	508	0
2018-1	iNaturalist	Canada	Araneae	158	2
2018-10	iNaturalist	Canada	Araneae	814	0
2018-11	iNaturalist	Canada	Araneae	361	4
2018-12	iNaturalist	Canada	Araneae	189	2
2018-2	iNaturalist	Canada	Araneae	143	0
2018-3	iNaturalist	Canada	Araneae	146	1
2018-4	iNaturalist	Canada	Araneae	279	0
2018-5	iNaturalist	Canada	Araneae	486	0
2018-6	iNaturalist	Canada	Araneae	894	2
2018-7	iNaturalist	Canada	Araneae	1029	4
2018-8	iNaturalist	Canada	Araneae	1272	1
2018-9	iNaturalist	Canada	Araneae	1579	0
2019-1	iNaturalist	Canada	Araneae	432	0
2019-10	iNaturalist	Canada	Araneae	1437	1
2019-11	iNaturalist	Canada	Araneae	481	2
2019-12	iNaturalist	Canada	Araneae	397	0
2019-2	iNaturalist	Canada	Araneae	209	0
2019-3	iNaturalist	Canada	Araneae	226	1
2019-4	iNaturalist	Canada	Araneae	556	0
2019-5	iNaturalist	Canada	Araneae	948	0
2019-6	iNaturalist	Canada	Araneae	1868	1
2019-7	iNaturalist	Canada	Araneae	2979	6
2019-8	iNaturalist	Canada	Araneae	3402	3
2019-9	iNaturalist	Canada	Araneae	3554	1
2020-1	iNaturalist	Canada	Araneae	351	0
2020-10	iNaturalist	Canada	Araneae	4500	0
2020-11	iNaturalist	Canada	Araneae	1902	0
2020-12	iNaturalist	Canada	Araneae	1098	0
2020-2	iNaturalist	Canada	Araneae	308	0
2020-3	iNaturalist	Canada	Araneae	570	0
2020-4	iNaturalist	Canada	Araneae	1298	0
2020-5	iNaturalist	Canada	Araneae	2792	0
2020-6	iNaturalist	Canada	Araneae	5048	0
2020-7	iNaturalist	Canada	Araneae	8666	0
2020-8	iNaturalist	Canada	Araneae	10182	0
2020-9	iNaturalist	Canada	Araneae	10506	0
2010-1	iNaturalist	US	Araneae	1	0
2010-10	iNaturalist	US	Araneae	0	0
2010-11	iNaturalist	US	Araneae	2	1
2010-12	iNaturalist	US	Araneae	1	0
2010-2	iNaturalist	US	Araneae	0	1
2010-3	iNaturalist	US	Araneae	5	1
2010-4	iNaturalist	US	Araneae	1	0
2010-5	iNaturalist	US	Araneae	7	4
2010-6	iNaturalist	US	Araneae	3	1
2010-7	iNaturalist	US	Araneae	1	0
2010-8	iNaturalist	US	Araneae	1	1
2010-9	iNaturalist	US	Araneae	6	2
2011-1	iNaturalist	US	Araneae	3	0
2011-10	iNaturalist	US	Araneae	54	0
2011-11	iNaturalist	US	Araneae	13	0
2011-12	iNaturalist	US	Araneae	23	3
2011-2	iNaturalist	US	Araneae	10	2
2011-3	iNaturalist	US	Araneae	16	3
2011-4	iNaturalist	US	Araneae	11	0
2011-5	iNaturalist	US	Araneae	19	5
2011-6	iNaturalist	US	Araneae	14	2
2011-7	iNaturalist	US	Araneae	40	5
2011-8	iNaturalist	US	Araneae	25	2
2011-9	iNaturalist	US	Araneae	40	4
2012-1	iNaturalist	US	Araneae	11	1
2012-10	iNaturalist	US	Araneae	121	4
2012-11	iNaturalist	US	Araneae	47	1
2012-12	iNaturalist	US	Araneae	43	5
2012-2	iNaturalist	US	Araneae	11	2
2012-3	iNaturalist	US	Araneae	21	1
2012-4	iNaturalist	US	Araneae	50	1
2012-5	iNaturalist	US	Araneae	57	5
2012-6	iNaturalist	US	Araneae	50	8
2012-7	iNaturalist	US	Araneae	61	5
2012-8	iNaturalist	US	Araneae	99	4
2012-9	iNaturalist	US	Araneae	93	2
2013-1	iNaturalist	US	Araneae	66	4
2013-10	iNaturalist	US	Araneae	286	3
2013-11	iNaturalist	US	Araneae	206	13
2013-12	iNaturalist	US	Araneae	86	3
2013-2	iNaturalist	US	Araneae	68	6
2013-3	iNaturalist	US	Araneae	79	2
2013-4	iNaturalist	US	Araneae	146	2
2013-5	iNaturalist	US	Araneae	284	17
